TestID;Number of Peers;With Super-Peers;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%]
Test1;5;true;9.62;2239815;2.74;8.74;20.52;true;6.18;0.13;1.34;5.57;0.82;2.72;7.01;2.53;4.07;0.54;0.26;0.35;2.39;1.57;2.03
Test2;5;true;14.74;4293938;1.66;4.99;10.16;true;9.24;0.13;1.96;10.57;1.45;5.11;10.73;4.62;7.07;0.53;0.27;0.34;3.77;1.57;2.33
Test3;5;true;24.86;8869498;1.17;4.58;11.45;true;12.26;0.13;2.56;21.74;2.87;10.56;21.88;9.25;13.12;0.52;0.27;0.33;2.39;1.57;2.00
Test4;5;true;41.40;15890720;1.07;4.01;12.37;true;21.37;0.13;4.38;38.91;5.04;18.88;39.04;16.36;23.26;0.51;0.26;0.33;2.52;1.57;2.05
Test5;5;true;81.73;32095088;0.82;2.07;5.17;true;36.56;0.13;7.42;78.40;10.05;37.55;78.53;32.81;44.97;0.52;0.27;0.33;2.39;1.57;2.00
Test6;5;true;81.73;32095088;-48.71;-48.07;0;false;00;99999.99;7.42;00;99999.99;37.55;00;99999.99;44.97;0.52;0.27;0.33;2.39;1.57;2.00
Test7;5;true;81.73;32095088;-69.25;-68.86;0;false;00;99999.99;7.42;00;99999.99;37.55;00;99999.99;44.97;0.52;0.27;0.33;2.39;1.57;2.00
Test8;10;true;19.22;2239815;1.32;30.91;259.85;true;9.26;0.12;2.59;11.24;1.47;4.03;11.70;3.39;6.63;0.94;0.28;0.42;2.65;0.94;1.77
Test9;10;true;26.40;4293938;1.06;21.84;188.55;true;9.33;0.12;4.73;17.29;2.74;7.22;22.57;6.27;11.95;0.93;0.28;0.42;2.65;0.94;1.77
Test10;10;true;47.33;8869498;0.85;9.64;79.61;true;18.41;0.13;8.37;27.46;5.52;13.45;42.78;12.71;21.83;0.93;0.28;0.42;2.65;0.94;1.79
Test11;10;true;78.03;15890720;0.79;5.78;45.60;true;27.73;0.13;13.56;49.16;9.81;23.27;73.62;22.59;36.83;0.95;0.28;0.42;2.65;0.94;1.79
Test12;10;true;151.86;32095088;0.74;2.95;20.28;true;49.18;0.12;24.49;99.25;19.78;45.77;148.06;45.34;70.27;0.94;0.29;0.42;2.65;0.94;1.83
Test13;10;true;151.86;32095088;-48.75;-47.62;0;false;00;99999.99;24.49;00;99999.99;45.77;00;99999.99;70.27;0.94;0.29;0.42;2.65;0.94;1.83
Test14;10;true;151.86;32095088;-69.28;-68.60;0;false;00;99999.99;24.49;00;99999.99;45.77;00;99999.99;70.27;0.94;0.29;0.42;2.65;0.94;1.83
Test15;20;true;21.84;2239815;1.08;2.87;5.91;true;12.27;0.12;4.99;9.24;1.73;5.36;18.46;4.72;10.35;1.41;0.33;0.69;1.87;0.99;1.36
